IdentificadorEntrega,Cliente,Fecha,TiempoSalida,TiempoLlegada,TiempoEntrega,TiempoLímite,RetrasoEntrega,CumplimientoPlazo
118,FoodExpress,05-11-2024,08:15:00,11:27:00,3.2,09:51:00,1.6,False
119,MegaMove,08-11-2024,08:30:00,10:36:00,2.1,11:10:00,0.0,True
120,QuickLogistics,07-11-2024,12:15:00,13:38:00,1.3833333333333333,14:24:00,0.0,True
121,EcoDeliver,15-11-2024,08:45:00,10:52:00,2.1166666666666667,11:17:00,0.0,True
122,TechCorp,14-11-2024,09:45:00,10:52:00,1.1166666666666667,11:16:00,0.0,True
123,GreenCargo,15-11-2024,11:15:00,13:28:00,2.216666666666667,13:49:00,0.0,True
124,EcoDeliver,07-11-2024,11:00:00,11:30:00,0.5,11:45:00,0.0,True
125,FoodExpress,28-11-2024,10:00:00,12:04:00,2.066666666666667,11:21:00,0.72,False
126,FoodExpress,18-11-2024,12:00:00,14:21:00,2.35,14:46:00,0.0,True
127,SafeHaul,27-11-2024,10:00:00,13:30:00,3.5,10:34:00,2.93,False
128,FoodExpress,26-11-2024,08:15:00,10:02:00,1.7833333333333334,10:43:00,0.0,True
129,PackPro,13-11-2024,09:30:00,10:37:00,1.1166666666666667,11:28:00,0.0,True
130,SafeHaul,26-11-2024,11:00:00,11:39:00,0.65,12:23:00,0.0,True
131,GreenCargo,29-11-2024,12:15:00,14:14:00,1.9833333333333332,14:28:00,0.0,True
132,LogiTrans,20-11-2024,10:30:00,14:13:00,3.716666666666667,13:17:00,0.93,False
133,QuickLogistics,05-11-2024,10:15:00,12:46:00,2.5166666666666666,13:09:00,0.0,True
134,FoodExpress,27-11-2024,12:00:00,14:54:00,2.9,13:34:00,1.33,False
135,FastShip,07-11-2024,09:45:00,09:51:00,0.1,10:22:00,0.0,True
136,TechCorp,22-11-2024,10:00:00,10:30:00,0.5,10:39:00,0.0,True
137,MegaMove,27-11-2024,08:15:00,09:38:00,1.3833333333333333,09:57:00,0.0,True
138,FastShip,21-11-2024,10:00:00,10:30:00,0.5,10:42:00,0.0,True
139,SafeHaul,06-11-2024,12:00:00,12:15:00,0.25,12:48:00,0.0,True
140,EcoDeliver,07-11-2024,10:30:00,12:53:00,2.3833333333333333,13:23:00,0.0,True
141,FastShip,20-11-2024,08:45:00,09:01:00,0.2666666666666666,09:23:00,0.0,True
142,FastShip,27-11-2024,10:15:00,12:06:00,1.85,12:21:00,0.0,True
143,EcoDeliver,27-11-2024,09:00:00,11:26:00,2.433333333333333,11:36:00,0.0,True
144,MegaMove,12-11-2024,10:15:00,11:28:00,1.2166666666666666,11:56:00,0.0,True
145,FoodExpress,13-11-2024,12:30:00,12:55:00,0.4166666666666667,13:50:00,0.0,True
146,EcoDeliver,22-11-2024,12:00:00,12:34:00,0.5666666666666667,13:23:00,0.0,True
147,LogiTrans,12-11-2024,12:45:00,13:03:00,0.3,13:58:00,0.0,True
148,LogiTrans,15-11-2024,12:00:00,13:05:00,1.0833333333333333,14:03:00,0.0,True
149,PackPro,29-11-2024,10:15:00,11:37:00,1.3666666666666667,12:28:00,0.0,True
150,FastShip,11-11-2024,08:30:00,08:54:00,0.4,09:33:00,0.0,True
151,MegaMove,19-11-2024,09:30:00,10:58:00,1.4666666666666666,11:51:00,0.0,True
152,MegaMove,25-11-2024,12:00:00,14:22:00,2.3666666666666667,15:00:00,0.0,True
153,FoodExpress,27-11-2024,09:30:00,10:47:00,1.2833333333333334,11:39:00,0.0,True
154,TechCorp,26-11-2024,08:45:00,12:10:00,3.4166666666666665,10:30:00,1.67,False
155,EcoDeliver,14-11-2024,12:45:00,16:31:00,3.7666666666666666,13:58:00,2.55,False
156,FastShip,13-11-2024,12:30:00,13:00:00,0.5,13:14:00,0.0,True
157,PackPro,26-11-2024,08:15:00,10:56:00,2.683333333333333,11:11:00,0.0,True
158,QuickLogistics,11-11-2024,09:15:00,11:26:00,2.183333333333333,10:36:00,0.83,False
159,TechCorp,13-11-2024,11:15:00,11:30:00,0.25,12:25:00,0.0,True
160,TechCorp,12-11-2024,12:30:00,14:14:00,1.7333333333333334,15:01:00,0.0,True
161,TechCorp,18-11-2024,08:30:00,11:00:00,2.5,09:20:00,1.67,False
162,FastShip,20-11-2024,10:00:00,10:55:00,0.9166666666666666,11:10:00,0.0,True
163,EcoDeliver,20-11-2024,10:30:00,12:22:00,1.8666666666666667,12:34:00,0.0,True
164,EcoDeliver,08-11-2024,11:15:00,13:21:00,2.1,14:10:00,0.0,True
165,FoodExpress,11-11-2024,09:30:00,11:33:00,2.05,12:16:00,0.0,True
166,FastShip,18-11-2024,08:45:00,12:22:00,3.6166666666666663,11:31:00,0.85,False
167,SafeHaul,11-11-2024,11:00:00,11:30:00,0.5,11:41:00,0.0,True
168,FoodExpress,26-11-2024,08:15:00,08:45:00,0.5,08:55:00,0.0,True
169,EcoDeliver,20-11-2024,12:00:00,12:15:00,0.25,13:14:00,0.0,True
170,GreenCargo,22-11-2024,12:45:00,12:59:00,0.2333333333333333,13:46:00,0.0,True
171,FastShip,29-11-2024,09:15:00,10:39:00,1.4,11:06:00,0.0,True
172,PackPro,22-11-2024,12:00:00,13:36:00,1.6,14:36:00,0.0,True
173,LogiTrans,04-11-2024,09:45:00,10:25:00,0.6666666666666666,11:17:00,0.0,True
174,QuickLogistics,29-11-2024,12:00:00,12:43:00,0.7166666666666667,13:14:00,0.0,True
175,QuickLogistics,08-11-2024,12:00:00,14:19:00,2.316666666666667,14:46:00,0.0,True
176,PackPro,05-11-2024,12:45:00,14:03:00,1.3,14:22:00,0.0,True
177,PackPro,28-11-2024,12:00:00,12:20:00,0.3333333333333333,12:37:00,0.0,True
178,GreenCargo,06-11-2024,10:45:00,12:56:00,2.183333333333333,13:19:00,0.0,True
179,SafeHaul,26-11-2024,08:00:00,08:49:00,0.8166666666666667,09:06:00,0.0,True
180,FastShip,19-11-2024,08:15:00,11:30:00,3.25,10:04:00,1.43,False
181,EcoDeliver,21-11-2024,12:30:00,14:49:00,2.316666666666667,14:12:00,0.62,False
182,FastShip,27-11-2024,12:45:00,13:07:00,0.3666666666666666,14:01:00,0.0,True
183,MegaMove,28-11-2024,10:45:00,10:59:00,0.2333333333333333,11:27:00,0.0,True
184,QuickLogistics,11-11-2024,08:15:00,08:32:00,0.2833333333333333,08:50:00,0.0,True
185,FoodExpress,20-11-2024,08:00:00,10:12:00,2.2,10:58:00,0.0,True
186,LogiTrans,06-11-2024,10:15:00,11:51:00,1.6,12:14:00,0.0,True
187,FastShip,29-11-2024,12:30:00,13:54:00,1.4,14:11:00,0.0,True
188,QuickLogistics,22-11-2024,08:15:00,10:26:00,2.183333333333333,11:03:00,0.0,True
189,TechCorp,29-11-2024,12:15:00,14:27:00,2.2,14:55:00,0.0,True
190,GreenCargo,04-11-2024,09:00:00,10:51:00,1.85,11:31:00,0.0,True
191,FastShip,20-11-2024,12:15:00,12:45:00,0.5,12:46:00,0.0,True
192,EcoDeliver,15-11-2024,12:30:00,14:07:00,1.6166666666666667,15:01:00,0.0,True
193,SafeHaul,12-11-2024,11:45:00,12:39:00,0.9,13:20:00,0.0,True
194,FastShip,26-11-2024,08:00:00,09:19:00,1.3166666666666669,09:43:00,0.0,True
195,EcoDeliver,14-11-2024,12:30:00,13:37:00,1.1166666666666667,13:55:00,0.0,True
196,GreenCargo,18-11-2024,11:45:00,11:54:00,0.15,12:15:00,0.0,True
197,LogiTrans,14-11-2024,08:45:00,10:41:00,1.9333333333333331,11:19:00,0.0,True
198,PackPro,21-11-2024,10:00:00,11:52:00,1.8666666666666667,12:31:00,0.0,True
199,MegaMove,06-11-2024,11:30:00,13:33:00,2.05,14:24:00,0.0,True
200,PackPro,19-11-2024,09:30:00,11:24:00,1.9,11:45:00,0.0,True
201,GreenCargo,13-11-2024,09:30:00,11:04:00,1.5666666666666669,11:28:00,0.0,True
202,SafeHaul,19-11-2024,09:00:00,09:58:00,0.9666666666666668,10:37:00,0.0,True
203,SafeHaul,04-11-2024,12:00:00,13:26:00,1.4333333333333331,14:06:00,0.0,True
204,QuickLogistics,28-11-2024,10:45:00,11:43:00,0.9666666666666668,12:40:00,0.0,True
205,GreenCargo,28-11-2024,09:00:00,10:16:00,1.2666666666666666,10:56:00,0.0,True
206,EcoDeliver,05-11-2024,12:30:00,13:00:00,0.5,13:24:00,0.0,True
207,LogiTrans,26-11-2024,11:30:00,14:06:00,2.6,14:30:00,0.0,True
208,FastShip,28-11-2024,08:30:00,12:08:00,3.633333333333333,09:21:00,2.78,False
209,EcoDeliver,14-11-2024,09:30:00,11:25:00,1.9166666666666667,10:00:00,1.42,False
210,FoodExpress,25-11-2024,11:15:00,14:20:00,3.083333333333333,13:34:00,0.77,False
211,FastShip,14-11-2024,11:15:00,12:52:00,1.6166666666666667,13:38:00,0.0,True
212,MegaMove,13-11-2024,12:45:00,14:31:00,1.7666666666666666,14:45:00,0.0,True
213,FoodExpress,25-11-2024,08:15:00,08:38:00,0.3833333333333333,08:55:00,0.0,True
214,QuickLogistics,15-11-2024,10:00:00,10:16:00,0.2666666666666666,10:52:00,0.0,True
215,GreenCargo,14-11-2024,11:00:00,11:44:00,0.7333333333333333,11:54:00,0.0,True
216,PackPro,19-11-2024,12:30:00,13:01:00,0.5166666666666667,13:17:00,0.0,True
217,PackPro,29-11-2024,09:15:00,10:02:00,0.7833333333333333,10:39:00,0.0,True
218,EcoDeliver,25-11-2024,11:00:00,12:56:00,1.9333333333333331,13:10:00,0.0,True
219,FoodExpress,11-11-2024,10:45:00,11:15:00,0.5,11:42:00,0.0,True
220,LogiTrans,11-11-2024,10:15:00,10:33:00,0.3,10:46:00,0.0,True
221,SafeHaul,20-11-2024,10:45:00,11:13:00,0.4666666666666667,12:08:00,0.0,True
222,FastShip,11-11-2024,09:00:00,09:18:00,0.3,10:11:00,0.0,True
223,LogiTrans,12-11-2024,09:45:00,13:24:00,3.65,10:29:00,2.92,False
224,EcoDeliver,05-11-2024,08:45:00,09:42:00,0.95,10:31:00,0.0,True
225,MegaMove,29-11-2024,09:00:00,09:54:00,0.9,10:34:00,0.0,True
226,GreenCargo,13-11-2024,10:45:00,11:59:00,1.2333333333333334,12:26:00,0.0,True
227,TechCorp,05-11-2024,10:30:00,10:37:00,0.1166666666666666,11:04:00,0.0,True
228,EcoDeliver,22-11-2024,09:15:00,11:07:00,1.8666666666666667,10:08:00,0.98,False
229,EcoDeliver,27-11-2024,10:30:00,11:08:00,0.6333333333333333,11:43:00,0.0,True
230,QuickLogistics,15-11-2024,10:45:00,11:33:00,0.8,12:32:00,0.0,True
231,TechCorp,26-11-2024,09:30:00,11:35:00,2.083333333333333,12:07:00,0.0,True
232,QuickLogistics,15-11-2024,08:45:00,09:36:00,0.85,09:46:00,0.0,True
233,EcoDeliver,19-11-2024,09:45:00,11:00:00,1.25,11:12:00,0.0,True
234,FoodExpress,20-11-2024,11:15:00,13:04:00,1.8166666666666669,13:34:00,0.0,True
235,EcoDeliver,29-11-2024,10:30:00,11:23:00,0.8833333333333333,11:42:00,0.0,True
236,GreenCargo,06-11-2024,09:15:00,12:08:00,2.8833333333333333,09:53:00,2.25,False
237,MegaMove,29-11-2024,11:15:00,14:30:00,3.25,12:24:00,2.1,False
238,EcoDeliver,04-11-2024,09:00:00,09:20:00,0.3333333333333333,09:47:00,0.0,True
239,TechCorp,13-11-2024,08:15:00,08:44:00,0.4833333333333333,09:43:00,0.0,True
240,FastShip,15-11-2024,11:30:00,12:51:00,1.35,13:26:00,0.0,True
241,LogiTrans,08-11-2024,08:30:00,09:42:00,1.2,10:14:00,0.0,True
242,FoodExpress,12-11-2024,10:45:00,12:02:00,1.2833333333333334,12:31:00,0.0,True
243,FastShip,22-11-2024,09:00:00,10:36:00,1.6,10:50:00,0.0,True
244,QuickLogistics,20-11-2024,10:30:00,13:00:00,2.5,13:23:00,0.0,True
245,MegaMove,25-11-2024,10:15:00,12:19:00,2.066666666666667,13:13:00,0.0,True
246,LogiTrans,13-11-2024,11:30:00,15:12:00,3.7,12:53:00,2.32,False
247,FastShip,13-11-2024,08:00:00,09:35:00,1.5833333333333333,09:50:00,0.0,True
248,PackPro,06-11-2024,09:15:00,10:21:00,1.1,10:58:00,0.0,True
249,TechCorp,19-11-2024,09:00:00,10:08:00,1.1333333333333333,10:18:00,0.0,True
250,EcoDeliver,19-11-2024,11:15:00,14:20:00,3.083333333333333,12:33:00,1.78,False
